Class,Gender,Age,Institute,Department,Students ID,Academic year,Nationality,psychological factor,Teachers factor,eco_status of fam,Family size,Family satisfaction,Accomodation,Institutional factor,Father education,Mother education,Father job,Mother job,Location_student,No of absence,Credit hour,CGPA,Grade
Low,F,24,college of agriculture,Plant science,RAS/026/08,2008,Ethiopian,Low,>=6,poor,<=3,no,dormatory,sometimes,primary,secodary,daily labour,house wife,rural,Under-7,180,2.21 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/022/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,yes,rental,sometimes,secondary,secodary,daily labour,house wife,rural,Above-7,180,2.97 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/029/09,2009,Ethiopian,Low,<=5,poor,<=3,no,rental,never,secondary,secodary,daily labour,house wife,rural,Above-7,180,2.09 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/023/06,2006,Ethiopian,Medium,>=6,poor,>3,no,rental,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,2.53 ,Medium
High,M,24,college of agriculture,Plant science,RAS/035/07,2007,Ethiopian,High,<=5,poor,>3,no,rental,always,degree,secodary,civil servant,house wife,rural,Under-7,180,3.65 ,High
High,F,24,college of agriculture,Plant science,RAS/039/07,2007,Ethiopian,High,<=5,poor,>3,no,rental,never,secondary,secodary,farmer,house wife,rural,Above-7,180,3.61 ,High
Low,F,24,college of agriculture,Plant science,RAS/138/08,2008,Ethiopian,Medium,<=5,poor,>3,no,rental,never,secondary,secodary,farmer,house wife,rural,Under-7,180,2.46 ,Low
Medium,F,21,college of agriculture,Plant science,RAS/036/09,2009,Ethiopian,Medium,<=5,poor,>3,no,rental,never,secondary,secodary,farmer,house wife,rural,Under-7,180,3.11 ,Medium
Low,F,25,college of agriculture,Plant science,RAS/041/07,2007,Ethiopian,Low,<=5,poor,>3,no,rental,never,secondary,primary,farmer,house wife,urban,Under-7,180,2.35 ,Low
Medium,F,25,college of agriculture,Plant science,RAS/044/09,2009,Ethiopian,Medium,<=5,poor,>3,yes,rental,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.70 ,Medium
Low,F,25,college of agriculture,Plant science,RAS/022/05,2005,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.26 ,Low
Low,F,25,college of agriculture,Plant science,RAS/241/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.33 ,Low
Medium,F,25,college of agriculture,Plant science,RAS/031/06,2006,Ethiopian,Medium,<=5,poor,>3,no,dormatory,never,degree,primary,civil servant,house wife,urban,Above-7,180,2.69 ,Medium
Medium,F,25,college of agriculture,Plant science,RAS/069/11,2011,Ethiopian,Medium,>=6,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Above-7,180,2.55 ,Medium
Low,F,25,college of agriculture,Plant science,RAS/027/05,2005,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Above-7,180,2.15 ,Low
Medium,F,25,college of agriculture,Plant science,RAS/035/06,2006,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,180,2.69 ,Medium
Medium,M,25,college of agriculture,Plant science,RAS/077/11,2011,Ethiopian,Medium,<=5,poor,>3,yes,with family,never,college,secodary,civil servant,house wife,rural,Above-7,180,2.88 ,Medium
Low,M,25,college of agriculture,Plant science,RAS/051/07,2011,Ethiopian,Low,<=5,poor,<=3,no,with family,never,primary,secodary,civil servant,house wife,rural,Under-7,180,2.14 ,Low
Low,F,23,college of agriculture,Plant science,RAS/055/10,2010,Ethiopian,Low,<=5,poor,<=3,no,with family,never,primary,primary,farmer,house wife,rural,Above-7,180,2.22 ,Low
High,F,21,college of agriculture,Plant science,RAS/327/08,2008,Ethiopian,Low,<=5,poor,>3,no,with family,sometimes,primary,high school,farmer,house wife,rural,Under-7,180,3.84 ,High
Medium,F,23,college of agriculture,Plant science,RAS/062/10,2010,Ethiopian,Low,>=6,poor,>3,no,with family,sometimes,secondary,college,farmer,civil servant,rural,Above-7,180,2.53 ,Medium
Medium,M,21,college of agriculture,Plant science,RAS/064/09,2009,Ethiopian,Low,<=5,poor,>3,no,with family,sometimes,primary,primary,farmer,house wife,urban,Under-7,180,3.27 ,Medium
Low,F,21,college of agriculture,Plant science,RNS/T/009/06,2006,Ethiopian,Low,<=5,poor,>3,no,with family,always,primary,primary,farmer,house wife,rural,Under-7,180,2.29 ,Low
High,M,19,college of agriculture,Plant science,RAS/285/08,2008,Ethiopian,High,>=6,poor,>3,yes,with family,always,primary,primary,farmer,house wife,rural,Above-7,180,3.69 ,High
Medium,M,23,college of agriculture,Plant science,RAS/038/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,yes,with family,never,primary,primary,farmer,house wife,rural,Above-7,180,3.31 ,Medium
Low,F,21,college of agriculture,Plant science,RAS/064/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,yes,with family,always,primary,primary,farmer,house wife,rural,Under-7,180,2.29 ,Low
Low,M,19,college of agriculture,Plant science,RAS/095/11,2011,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,degree,secodary,civil servant,daily labour,rural,Under-7,180,2.22 ,Low
Low,M,20,college of agriculture,Plant science,RAS/041/05,2005,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,degree,secodary,civil servant,daily labour,rural,Under-7,180,2.45 ,Low
High,M,19,college of agriculture,Plant science,RAS/067/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,rental,sometimes,degree,secodary,merchant,daily labour,rural,Above-7,180,3.52 ,High
High,F,21,college of agriculture,Plant science,RAS/108/11,2011,Ethiopian,High,<=5,mid_middle class,>3,no,rental,always,degree,secodary,civil servant,daily labour,urban,Above-7,180,3.62 ,High
Medium,F,19,college of agriculture,Plant science,RAS/072/09,2009,Ethiopian,Medium,>=6,low_middle class,>3,no,rental,sometimes,primary,secodary,farmer,daily labour,rural,Under-7,180,2.52 ,Medium
High,F,20,college of agriculture,Plant science,RAS/078/10,2010,Ethiopian,High,<=5,mid_middle class,>3,no,rental,always,primary,secodary,farmer,daily labour,rural,Under-7,180,3.52 ,High
Low,M,23,college of agriculture,Plant science,RAS/115/11,2011,Ethiopian,Low,<=5,poor,<=3,no,rental,never,primary,secodary,farmer,daily labour,rural,Above-7,180,2.38 ,Low
Low,F,21,college of agriculture,Plant science,RAS/242/08,2008,Ethiopian,Low,>=6,poor,<=3,no,rental,never,primary,secodary,farmer,house wife,urban,Above-7,180,2.23 ,Low
Medium,M,21,college of agriculture,Plant science,RAS/045/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,yes,rental,sometimes,phd,primary,merchant,civil servant,rural,Above-7,180,3.41 ,Medium
Medium,F,19,college of agriculture,Plant science,RAS/073/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,yes,rental,sometimes,degree,secodary,civil servant,house wife,rural,Above-7,180,2.94 ,Medium
High,M,23,college of agriculture,Plant science,RAS/286/08,2008,Ethiopian,High,<=5,low_middle class,>3,yes,rental,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.71 ,High
Medium,M,21,college of agriculture,Plant science,RAS/053/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.80 ,Medium
Medium,M,23,college of agriculture,Plant science,RAS/165/08,2008,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,always,primary,secodary,daily labour,house wife,rural,Above-7,180,2.70 ,Medium
Low,F,23,college of agriculture,Plant science,RAS/128/11,2011,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,primary,secodary,daily labour,daily labour,rural,Under-7,180,2.23 ,Low
Medium,F,21,college of agriculture,Plant science,RAS/161/08,2008,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,daily labour,daily labour,urban,Under-7,180,2.71 ,Medium
Medium,M,19,college of agriculture,Plant science,RAS/396/07,2007,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,daily labour,daily labour,urban,Under-7,180,3.47 ,Medium
Medium,M,23,college of agriculture,Plant science,RAS/091/07,2007,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,never,secondary,secodary,daily labour,daily labour,urban,Above-7,180,2.55 ,Medium
Medium,M,21,college of agriculture,Plant science,RAS/137/11,2011,Ethiopian,Low,>=6,low_middle class,>3,yes,dormatory,sometimes,degree,secodary,daily labour,daily labour,rural,Above-7,180,3.34 ,Medium
High,F,19,college of agriculture,Plant science,RAS/139/11,2011,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,daily labour,urban,Above-7,180,3.72 ,High
Medium,F,20,college of agriculture,Plant science,RAS/063/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,daily labour,urban,Above-7,180,2.53 ,Medium
Low,M,24,college of agriculture,Plant science,RAS/149/11,2011,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,secondary,secodary,farmer,house wife,urban,Above-7,180,2.26 ,Low
Low,F,24,college of agriculture,Plant science,RAS/100/07,2007,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,secondary,primary,farmer,house wife,urban,Above-7,180,2.26 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/064/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,never,secondary,secodary,farmer,house wife,urban,Above-7,180,2.51 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/065/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.02 ,Medium
High,M,24,college of agriculture,Plant science,RAS/150/11,2011,Ethiopian,High,>=6,mid_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.55 ,High
Low,F,24,college of agriculture,Plant science,RAS/092/09,2009,Ethiopian,Low,<=5,poor,<=3,no,dormatory,always,degree,primary,civil servant,house wife,rural,Above-7,180,2.16 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/156/11,2011,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,180,2.86 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/158/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.83 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/157/11,2011,Ethiopian,Low,<=5,poor,<=3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.31 ,Low
Low,F,24,college of agriculture,Plant science,RAS/101/10,2010,Ethiopian,Low,<=5,poor,<=3,yes,dormatory,sometimes,college,secodary,civil servant,house wife,rural,Under-7,180,2.35 ,Low
Low,F,24,college of agriculture,Plant science,RAS/099/10,2010,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.42 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/105/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,3.50 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/066/06,2006,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.80 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/382/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.71 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/105/10,2010,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Above-7,180,2.66 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/097/09,2009,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,2.59 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/067/05,2005,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,3.39 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/081/08,2008,Ethiopian,Low,>=6,poor,<=3,no,dormatory,never,degree,secodary,civil servant,house wife,rural,Above-7,180,2.48 ,Low
Low,M,24,college of agriculture,Plant science,RAS/107/09,2009,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Under-7,180,2.38 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/073/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,3.49 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/074/06,2006,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,2.20 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/079/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Above-7,180,3.49 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/082/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,never,secondary,secodary,farmer,house wife,urban,Above-7,180,3.08 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/083/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,3.32 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/212/11,2011,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,3.33 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/126/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,degree,primary,civil servant,house wife,urban,Under-7,180,2.75 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/114/08,2008,Ethiopian,Low,<=5,poor,<=3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.49 ,Low
Low,F,24,college of agriculture,Plant science,RAS/219/11,2011,Ethiopian,Low,>=6,poor,<=3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.23 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/091/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.96 ,Medium
Low,M,24,college of agriculture,Plant science,RAS/141/07,2007,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,college,secodary,civil servant,house wife,urban,Under-7,180,2.48 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/142/07,2007,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,civil servant,house wife,rural,Under-7,180,3.13 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/131/10,2010,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,Medium,primary,primary,farmer,house wife,rural,Above-7,180,2.62 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/229/11,2011,Ethiopian,Low,<=5,poor,>3,no,dormatory,always,primary,high school,farmer,house wife,rural,Under-7,180,2.31 ,Low
Low,M,24,college of agriculture,Plant science,RAS/081/06,2006,Ethiopian,Low,<=5,poor,>3,no,dormatory,always,secondary,college,farmer,civil servant,rural,Under-7,180,2.36 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/288/08,2008,Ethiopian,Low,>=6,poor,>3,yes,dormatory,always,primary,primary,farmer,house wife,rural,Above-7,180,3.33 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/083/06,2006,Ethiopian,Low,<=5,poor,>3,yes,dormatory,never,primary,primary,farmer,house wife,urban,Above-7,180,3.43 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/137/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,always,primary,primary,farmer,house wife,urban,Above-7,180,2.91 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/234/11,2011,Ethiopian,Low,>=6,poor,<=3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,2.33 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/117/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Under-7,180,3.33 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/232/11,2011,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Under-7,180,2.55 ,Medium
Medium,F,24,college of agriculture,Plant science,RAS/140/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Above-7,180,3.17 ,Medium
High,F,24,college of agriculture,Plant science,RAS/236/11,2011,Ethiopian,High,<=5,poor,>3,yes,with family,sometimes,degree,secodary,merchant,house wife,rural,Above-7,180,3.92 ,High
Medium,M,24,college of agriculture,Plant science,RAS/237/11,2011,Ethiopian,Medium,<=5,poor,>3,yes,with family,never,degree,secodary,civil servant,house wife,rural,Under-7,180,3.45 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/153/07,2007,Ethiopian,Medium,<=5,poor,>3,yes,with family,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.58 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/156/07,2007,Ethiopian,Medium,>=6,poor,>3,yes,with family,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.88 ,Medium
Low,M,24,college of agriculture,Plant science,RAS/151/10,2010,Ethiopian,Low,<=5,poor,>3,no,with family,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.28 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/157/07,2007,Ethiopian,Low,<=5,poor,<=3,yes,with family,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.62 ,Medium
High,F,24,college of agriculture,Plant science,RAS/152/09,2009,Ethiopian,Low,>=6,poor,>3,yes,with family,never,phd,primary,merchant,civil servant,rural,Above-7,180,3.60 ,High
Low,M,24,college of agriculture,Plant science,RAS/153/09,2009,Ethiopian,Low,<=5,poor,>3,yes,dormatory,never,degree,secodary,civil servant,house wife,rural,Above-7,180,2.42 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/398/08,2008,Ethiopian,Low,<=5,poor,>3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.53 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/088/06,2006,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180,3.38 ,Medium
Medium,M,24,college of agriculture,Plant science,RAS/104/05,2005,Somalian,Low,<=5,low_middle class,>3,yes,dormatory,always,primary,secodary,farmer,house wife,urban,Above-7,180,3.28 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/165/07,2007,Ethiopian,Low,<=5,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,180,2.43 ,Low
Medium,M,24,college of agriculture,Plant science,RAS/094/08,2008,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.55 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/158/09,2009,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.49 ,Low
Low,F,24,college of agriculture,Plant science,RAS/157/09,2009,Ethiopian,Low,<=5,poor,>3,yes,with family,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.44 ,Low
High,M,24,college of agriculture,Plant science,RAS/107/05,2005,Ethiopian,High,<=5,poor,>3,yes,with family,never,degree,secodary,farmer,house wife,rural,Under-7,180,3.64 ,High
High,M,24,college of agriculture,Plant science,RAS/110/05,2005,Ethiopian,High,>=6,mid_middle class,<=3,yes,with family,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,3.50 ,High
Low,F,24,college of agriculture,Plant science,RAS/112/05,2005,Ethiopian,Low,<=5,low_middle class,<=3,yes,with family,always,secondary,secodary,farmer,house wife,rural,Above-7,180,2.46 ,Low
Low,F,24,college of agriculture,Plant science,RAS/261/11,2011,Ethiopian,Low,<=5,poor,>3,yes,with family,always,secondary,secodary,farmer,house wife,rural,Above-7,180,2.24 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/114/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,yes,with family,always,secondary,primary,farmer,house wife,rural,Under-7,180,3.14 ,Medium
High,M,24,college of agriculture,Plant science,RAS/169/09,2009,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,180,3.55 ,High
Medium,M,24,college of agriculture,Plant science,RAS/086/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180,3.38 ,Medium
High,M,24,college of agriculture,Plant science,RAS/119/05,2005,Ethiopian,High,<=5,mid_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.66 ,High
Low,M,24,college of agriculture,Plant science,RAS/169/10,2010,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,urban,Above-7,180,2.37 ,Low
Medium,F,24,college of agriculture,Plant science,RAS/175/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.69 ,Medium
Low,M,24,college of agriculture,Plant science,RAS/177/09,2009,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.31 ,Low
High,M,24,college of agriculture,Plant science,RAS/174/07,2007,Ethiopian,High,>=6,mid_middle class,<=3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,3.65 ,High
High,M,24,college of agriculture,Plant science,RAS/120/05,2005,Ethiopian,High,<=5,mid_middle class,>3,yes,dormatory,never,college,secodary,civil servant,house wife,rural,Above-7,180,3.58 ,High
Medium,F,24,college of agriculture,Plant science,RAS/034/08,2008,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,180,2.84 ,Medium
Low,F,24,college of agriculture,Plant science,RAS/140/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,180,2.38 ,Low
Low,F,24,college of agriculture,Plant science,RAS/142/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,urban,Under-7,180,2.24 ,Low
Low,M,24,college of agriculture,Plant science,RAS/178/10,2010,Ethiopian,Low,<=5,poor,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.26 ,Low
High,M,24,college of agriculture,Plant science,RAS/125/05,2005,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,3.77 ,High
